score,comment,reply
3.2,地角: 很不错 旁边就是永安百货 缺点 门口不许停车环境:可以 百年老楼错综复杂 🎤强烈推荐你们选靠近天梯的房间 缺点:隔音效果很不好 容易受到惊吓🎃服务: 个人不是很好 第一天去一楼吃早餐 服务人员态度很恶劣 我就告诉她没有位置 把餐桌收拾一下 她们就反复盘问你是那间房的 跟防贼似的 很让人生气服务二:房间错综复杂 就应该可以支持外卖送上楼的习惯 他家酒店不支持 去过大大小小那么多酒店 这是第一家不支持不推荐喜欢吃夜宵的朋友去她家 很不方便,尊敬的宾客，您好！首先未能够给到您更加贴心的服务表示歉意，酒店为百年保护性建筑，在布局上部分房间距离电梯有些距离，如果您有大件行李酒店所有工作人员都将会为您服务。为了确保酒店在住宾客的安全，酒店启用了电梯梯控装置，外卖需要至前台领取，如果您有特殊要求酒店工作人员也可以将外卖送到您房间内。由于10.1黄金周原因酒店早餐用餐人数比较多，未能够给到您更体贴的服务表示歉意，早餐我们需要进行房号核对，由于用餐人员比较多工作人员不能够进行分辨所以会第一时间先与您核对信息，让您产生了误解。再次我们向您表示歉意。对您提出的问题我们将会进行认真对待及时整改。祝您每天有一个好心情！酒店总经理Mandy
3.0,住了三天，办理入住时服务意识较差，餐厅和楼道服务员倒挺有礼貌，房间每天一早楼下轰隆轰隆，卫生间排气是坏的，除了位置，其它一般吧，500一晚也就那样了。,尊敬的宾客，您好！尊敬的宾客您好:非常感谢您的入住及对酒店的评价，未能给您带来满意的住宿体验，我们深表歉意！您提到服务方面的问题，我们会加强员工的培训，为您下一次入住提供更加舒适的入住体验，感谢您给予酒店提出的宝贵意见，针对设备问题酒店积极查询问题根源并进行整改。再次对您的入住不快表示歉意。酒店全体员工期待您的再次入住。祝好！酒店总经理Mandy
3.2,第一個房間，整晚都有濃郁的下水道的味道，實在受不了，向店家反映問題後，換了一間，雖然沒有第一間就麼濃郁，但還會有輕微的味道,尊敬的宾客您好：非常感谢您选择入住和颐至尊南京路步行街店，感谢您的宝贵意见，您所提出的问题我们已经向相关部门反映，为每一位客人提供热情周到的服务是酒店全体员工的职责，真诚期待您的再次入住。祝您生活愉快，工作顺利！酒店总经理Mandy
2.2,说好听了叫因地制宜，说白了就是因陋就简。楼道巨长，同一层内上下台阶，层高很低，房间狭长，设施陈旧。据说南京路周边这种破酒店很多，以后得躲着点。,尊敬的宾客，您好！感谢您选择入住和颐至尊南京路步行街店。由于酒店前身为百年历史建筑先施大厦，可能部分房间位置比较不易找到，还请谅解。酒店共计有8种房型供宾客选择，一定会有您满意的房型。酒店部分6F、7F可以俯看南京路步行街全景。酒店全体员工期待您的再次入住。祝好！酒店总经理Mandy
3.7,已经是第二次住这里了，地理位置不要太好哦，走出马上就是南京路步行街了，房间设施都很齐全，就是小了点，但是基本上回去都已经很迟了，也就是睡睡觉而已 也就无所谓了。,尊敬的宾客，您好！感谢您选择入住和颐至尊南京路步行街店。由于酒店前身为百年历史建筑先施大厦。酒店共计有8种房型供宾客选择，一定会有您满意的房型。酒店部分6F、7F可以俯看南京路步行街全景。酒店全体员工期待您的再次入住。祝好！酒店总经理Mandy
3.5,室內燈光比較暗，訂套房價格不划算，就是多了一個隔板。馬桶對著床，沒有遮簾，如果兩個人入住會比較尷尬。服務態度不錯，額外送多了四瓶水給我們。地段比較方便，樓下是商業區，吃的買的比較方便。,尊敬的宾客您好！感谢您选择入住和颐至尊酒店-上海南京路步行街店。感谢您提出的宝贵意见，酒店卫生间使用的为“防雾灯”开关按键在面池旁边，只要打开防雾功能是可以确保隐私，酒店前台24小时有人值班，您有任何需要可以与酒店前台联系，我们将第一时间为您解决。期待您再次选择我们哦，祝您生活愉快。(酒店总经理Mandy)
3.5,和孩子去选择这个酒店入住，看见很干净，住了一晚我和孩子身上全是起的红疙瘩，腿上也被蚊子咬的，真心的感觉太不好了,尊敬的宾客，您好！首先未能够给您提供更好的入住体验表示歉意，酒店客房所有的布草都送到具有洗涤资质的洗涤厂进行清洗，同时酒店也将会定期进行除螨处理，进入夏季酒店在摆放拖鞋处摆放液体蚊香，给有需要的宾客使用。在季节多变的情况下酒店将增加客房除螨次数，确保给予每一位宾客更好的入住体验。酒店全体员工提前祝：宝宝6.1节日快乐！酒店总经理Mandy
2.2,服务真的好！nb！遇到过最拽的前台，让人火大。设施老旧，电源没电，好奇怎么评上4星的，完全不如某些快捷酒店。而且不能免费延长退房时间，延长前问好收多少钱，毕竟别人就做你一次性生意。,尊敬的宾客：您好！非常抱歉没能给到您满意的入住体验，酒店的退房时间最晚不超过下午14点，如果需要延迟，根据酒店规定要加收半天房费（当天下午18点前），望理解！期待您的下次光临！
2.7,房间面积不小，酒店有两个门，打车司机定位总是定位到不对的门，比较尴尬😳。房间都是地毯，穿拖鞋会吸附很多头发在拖鞋上，可见卫生条件一般，水温不高，卫生间比较老旧，床🛏很硬，还有弹簧的硬鼓包，睡起来太难受😣了。早餐在3层，非常简易的早餐，只有煎蛋🍳是现场制作的，其他都是摆在那里的，最后一天早餐没有吃。,无
2.7,有点老了 不过价格合适 但是有个前台服务态度不好给酒店掉档次了,尊金的宾客：您好！非常感谢您给与的建议，酒店相关部门一定会加强督导和培训，期待您的下次光临
